eic_approval_no,eic_plant_name,eic_address
264,AmarSagar Seafood Pvt. Ltd.,"Survey No.29, Jawar Naka, Porbandar-360575, Gujarat, India."
278,Seasaga Enterprises Private Limited,"PLOT NO. R-25 & R-26, TTC INDUSTRIAL AREA, RABALE , NAVI MUMBAI - 400701, MAHARASHTRA, INDIA"
332,FALCON MARINE EXPORTS LTD.,"PLOT NO.138,SECTOR-A,ZONE-B,MANCHESWAR INDUSTRIAL ESTATE,BHUBANESWAR-751010,ODISHA"
343,BIJAYA MARINE PRODUCTS,"ATHARANALA,PATNA,GOPINATHPUR,PURI,752002,ODISHA"
364,MMC EXPORTS LIMITED,"Choto Paresh Baro Paresh Mahishbathan, Salt Lake  Sector V- 700091, West Bengal, INDIA"
370,RAM’S ASSORTED COLD STORAGE LTD.,"ARAKHAKUDA, AT/PO â?? TELENGAPENTHA, CUTTACK â?? 753051, ODISHA"
392,Calcutta Seafoods Private Limited,"174, Hemanta Basu Sarani, Basunagar, Madyamgram, Kolkata â?? 700129, West Bengal, India"
395,Laxminarayan Exports,"34 & 35, Industrial Estate, Paradeepgarh, Paradeep, Jagatsinghpur-754141, Odisha"
396,SK EXPORTS PRIVATE LIMITED,"21, CHANDAKA INDUSTRIAL COMPLEX, PATIA, KIIT CAMPUS, BHUBANESWAR, 751024, ODISHA"
449,SADAF SEA FOODS,"UNIT NO. 5, I.S.F.P.C., CHAKGARIA, KOLKATA - 700094, WEST BENGAL"
458,Shimpo Exports Private Limited,"Unit No. III, ISFPC, Chakgaria, Boodherhat, Kolkata- 700094, West Bengal, India"
459,TEEKAY MARINE PVT. LTD,"PLOT NO.58, CHANDAKA INDUSTRIAL ESTATE, PO-KIIT, PATIA, BHUBANESWAR-751024, Odisha"
469,MAGNUM SEA FOODS LIMITED,"AT: BOTANDA, P.O./P.S.: JANKIA, DIST: KHURDA, PIN-752019, ODISHA"
470,UNITRIVENI OVERSEAS,"PLOT NO.150,CHAMPAJHAR,P.O.MALIPADA, DT-KHURDA, PIN-752018"
477,IFB AGRO INDUSTRIES LTD.,"Plot No. IND-5, Sector-1, East Kolkata Township, Kolkata-700107, West Bengal, India."
478,Z. A. SEA FOODS PVT. LTD.,"UNIT NO-9, BENFISH COMPLEX I.S.F.P.C, CHAKGARIA, 24 PARGANAS (SOUTH), KOLKATA-700094, WEST BENGAL"
492,MILSHA AGRO EXPORTS PVT. LTD.,"UNIT NO. 1, I.S.F.P.C., BENFISH COMPLEX, CHAKGARIA, KOLKATA-700094, WEST BENGAL, INDIA"
496,N.C. DAS & CO.,"VILL & P.O.: ADAMPUR, P.S. : HAROA, DIST. : 24 PGS (N), WEST BENGAL."
520,Capithan Exporting Company,"Port Road,Sakthikulangara P.O., Kollam-691581,Kerala"
521,THE CANNING INDUSTRIES COCHINLTD,"EDACOCHIN P.O.,KOCHI-682010 KERALA, INDIA"
594,STERLING FOODS,"Sasihithlu, Haleangadi P.O., Mangaloe- 574146,Karnataka"
626,Abad Fisheries Private Limited (Unit-III),"VII/29-34, Vizhinjam, Thiruvananthapuram-695525, Kerala."
635,FREEZE EXIM,"AP 1/160, AROOR,ALAPPUZHA DIST.-688534, KERALA, INDIA"
658,COCHIN FROZEN FOOD EXPORTS PVT. LTD.,"Arookutty Ferry Road, Aroor, Pin-688534, Alappuzha, Kerala"
662,Silver Star Seafoods Ltd.,"X1/64, Anwar Palace,Chandiroor P.O ,Alappuzha,Kerela,India-688547"
664,Seaboy Fisheries Pvt. Ltd.,"KP VI-1019, Puthenthope, Trivandrum-695586, Kerala, India"
683,Torry Harris Seafoods Private Ltd.,"V /143A, P.B. NO. 2, Eramalloor P.O.,     Alleppey â?? 688537, Kerala"
696,RF EXPORTS,"ERAMALLOOR, ALAPPUZHA-688537, KERALA"
730,ABAD FISHERIES PVT LTD(UNIT VII),"1/99,PALLIPURAM P.O,MUNAMBAM-683515,KERALA,INDIA"
735,INTERNATIONALFREEZFISH EXPORTS (UNIT-II),"A.P.II/809 A,CHEMICALINDUSTRIAL ESTATEAROOR-688534,ALAPPUZHAAROOR-688534,ALAPPUZHA"
736,BABY MARINE SARASS,"Plot No. 7B, Industrial Area, Baikampady, New Mangalore – 575011, Karnataka"
737,Charly Fisheries,"Mamachanthuruth, Building No. 291,Ward No. NGP-5, Neendakara, Kollam, Kerala-691582"
742,HIC-ABF Special Foods Pvt Ltd,"Industrial Development Area Project Colony Road Aroor -688534 Alappuzha Dist.,Kerala"
766,PREMIER MARINE FOODSUNIT II,"DOOR NO.314,315&316,Suvery No.74/3D,Ward IXChandiroor,Alappuzha688547"
768,TOLAR OCEAN PRODUCTS PVT. LTD.,"Manur Fisheries Road, Kota-576221 Udupi Taluk & District, Karnataka, India"
770,H.T Foods Pvt Ltd,"Plot No.17/SDF, Ground Floor, Unit 3&4 , CSEZ, Kakkanad, Kochi-682037"
771,ROYAL OCEANS,"AP XII/528, OLD NH, CHANDIROOR P O,ALAPPUZHA DISTRICT-688547KERALA, INDIA"
773,Bangera Overseas Private Limited,"Koravadi cross-Kumbhashi Village, Kundapur,Taluk-576257,Udupi District, Karnataka,India"
779,Everest Seafoods Pvt Ltd,"Plot No-414 & 413 Part(S.No. 16 Portion) Industrial Area, Baikampady, Mangalore-575011, Karnataka, India"
806,SRIKANTH INTERNATIONAL PRIVATE  LIMITED,"D.NO: 3-143, Someswaram Village, Alapadu Post, Kaikaluru Mandal, Krishna District, Andhra Pradesh-521340, India"
808,BRITTO SEAFOODS EXPORTS PRIVATE LIMITED,"C-1, Part, SIPCOT Industrial Complex, Madathoor Post,Tuticorin -628008,           Tamil Nadu."
810,DEVI SEAFOODS LIMITED,"3-79/2, MOOLAGUNTAPADU, G.T.ROAD,
SINGARAYAKONDA-523 101,
PRAKASAM DISTRICT, ANDHRA PRADESH"
812,PHILLIPS FOODS INDIA PVT LTD,"C-75/76,Sipcot Industrial Complex,Madathoor P.O.,Tuticorin-628 008 Tamil Nadu"
820,MARIA AQUACON PVT. LTD.,"#1 Maria Tower, Main Road, Kootapuli-627127, Tamil Nadu"
823,STAR AGRO MARINE EXPORTS PVT.LTD.,"S.NO. 760-1 & 761 , Devispet, Indukurpet Mandal,Nellore  - 524314  Andhra Pradesh"
827,GLADSON EXPORTERS,"5/99 James Nagar, Muttom-629202, Kanyakumari District, Tamil Nadu"
833,NINANS PRIVATE  LIMITED,"C-76B, SIPCOT Industrial Complex,Madathur, Tuticorin-628008,Tamil Nadu"
834,JUDE FOODS INDIA PRIVATE LIMITED,"230/1, NORTH THAMARAIKULAM, AGASTHEESWARAM , KANYAKUMARI DISTRICT , TAMIL NADU-629704."
839,KADER EXPORTS PRIVATE LIMITED UNIT 05,"TNFDC FREEZING COMPLEX, MANDAPAM - 623518, RAMNAD DISTRICT, TAMIL NADU"
842,SANDHYA MARINES LIMITED UNIT-II,"Door No. 4-300, Poolapalli Village, Palakole Mandal, West Godavari District - 534261, Andhra Pradesh, India"
844,"BRITTO SEAFOODS EXPORTS PRIVATE LIMITED, UNIT-II","C-1, Part Sipcot Industrial Complex, Madathur Post,Tuticorin District,Tamil Nadu-628008."
854,KINGS INTERNATIONAL LIMITED,"Unit No. B7, B8 (A) & B10, Tuticorin Co - Operative Industrial Estate Ltd., Korampallam, Tuticorin - 628101, Tamilnadu"
857,DEVI FISHERIES LIMITED,"3-510,SARPAVARAM, KAKINADA-533005,Andhra Pradesh,India."
862,VV MARINE PRODUCTS,"1/69,Agaram Village, Palayakayal Post, Srivaikundam Taluk, Tuticorin District-628152,Tamilnadu"
869,Sprint Exports Pvt Ltd,"Vellanki village Boddapalem post Anandpuram mandal, Visakhapatnam -531163"
871,AQUA WORLD EXPORTS (PVT.) LTD.,"Meenanchel, Padanthalumoodu, Kaliakkavilai, Kanyakumari District, Tamil Nadu-629153."
876,AQUA WORLD EXPORTS PVT. LTD.,"No.6, East Kalmandapam Road, Royapuram, Chennai - 600 013"
878,UNILOIDS BIOSCIENCES PRIVATE LIMITED,"D.NO-5-138,SEESALI VILLAGE,KALLA MANDAL BHIMAVARAM,WEST GODAVARI DISTRICT,ANDHRA PRADESH-534237"
882,Nekkanti Sea foods Limited,"Marikavalasa, Paradesipalem Village, Visakhapatnam-531163, Andhra Pradesh"
897,Kader Exports Private Limited Unit-02,"4-139,Pedamiram,Bhimavaram-534204 West Godavari District,Andhra Pradesh"
913,COASTAL CORPORATION LIMITED UNIT-II,"Survey no 87, P.Dharmavaram Village, S.Rayavaram Mandal, Visakhapatnam -531055, Andhra Pradesh"
914,KAUSHALYA AQUA MARINE PRODUCT EXPORTS PVT. LTD,"No. 4/209, M.G.R Road, Palavakkam, Chennai-600041,Tamil Nadu"
915,K.V. MARINE EXPORTS,"1/30, Bajanai Koil Street, Padur Village, Kelambakkam, Kancheepuram District-603103, Tamil Nadu."
916,DEVI SEA FOODS LIMITED,"No.10-16-52, NH-16 (Old NH-5), Peravali Road,Tanuku - 534211, West Godavari District, Andhra Pradesh, India"
920,Asvini Fisheries Private Limited,"R.S.NO.626/1,Dirusumarru Road,P.B.No.52,Bhimavaram,West Godavari District-534239,Andhra Pradesh"
922,PHILLIPS FOODS INDIA PVT LTD,"C-75/76,Sipcot Industrial Complex,Madathoor P.O.,Tuticorin-628 008,Tamil Nadu"
927,ANJANEYA SEAFOODS,"6-122 A, North Rajupalem Village, Kodavaluru Mandal, Nellore District -524366, Andhra Pradesh"
928,"JAYALAKSHMI SEAFOODS PVT. LTD., UNIT-II","R. S.No.267/2 & 275/2, Seesali Village, Kalla Mandal, Bhimavaram-534237, West Godavari District, Andhra Pradesh"
934,WELLCOME FISHERIES LIMITED,"Old No.1/409(New No:4-46),Vandram Village, Undi Mandal,Bhimavaram-534 199"
939,NILA SEA FOODS PVT LTD,"137, PUDURPANDIAPURAM, TUTICORIN -628 002."
941,THEVA & CO,"5/55,                    SENTHILAMPANNAI, PUDUKOTTAI,                       TUTICORIN-628103"
946,SANDHYA MARINES LIMITED,"Door No. 4-295, Poolapalli Village, Palakole Mandal, West Godavari District - 534261, Andhra Pradesh, India"
950,HANDY WATERBASE INDIA (P) LTD,"Plot No.C-3 SIPCOT INDUSTRIAL COMPLEX,MADATHUR,TUTICORIN -628008"
955,KADER EXPORTS PRIVATE LIMITED,"D. No. 1-3/1 to 6, Gollalakoderu, Palakoderu (M), Bhimavaram, West Godavari District, Andhra Pradesh- 534202"
