approval_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,scope,primary_species,email,phone,website,business_no,status,verified,verification_level,admin_notes
H217,Brødrene Hjønnevåg As (Mattilsynet #H217),Brødrene Hjønnevåg As,Norway,,Uskedalen,"Børnes 20, 5463 Uskedalen, Norway",59.9328727,5.8340442,10,"Børnes 20, 5463 Uskedalen, Norway","FFPP-P, PP",,,,,971706694,approved,true,documentation_verified,"Mattilsynet approved establishment #H217. Scope: Fresh fishery products processing - pelagic, Processing plant. Business #971706694."
H300,Scalmarin As (Mattilsynet #H300),Scalmarin As,Norway,,Rong,"Svartevikvegen 5, 5337 Rong, Norway",60.5173167,4.9045178,10,"Svartevikvegen 5, 5337 Rong, Norway",FFPP,,,,,815798082,approved,true,documentation_verified,Mattilsynet approved establishment #H300. Scope: Fresh fishery products processing. Business #815798082.
H786,Napier As (Mattilsynet #H786),Napier As,Norway,,Bømlo,"Hovlandsvegen 18, 5443 Bømlo, Norway",59.6020566,5.2107271,10,"Hovlandsvegen 18, 5443 Bømlo, Norway",FFPP-SA,,,,,976173023,approved,true,documentation_verified,Mattilsynet approved establishment #H786. Scope: Fresh fishery products processing - salmon/aquaculture. Business #976173023.
H793,Tubilah As Avd Bømlo (Mattilsynet #H793),Tubilah As Avd Bømlo,Norway,,Bremnes,"Stavlandsveien 5, 5430 Bremnes, Norway",59.7933732,5.1715147,10,"Stavlandsvegen 5, 5430 Bremnes, Norway",FFPP-S,,,,,980654206,approved,true,documentation_verified,Mattilsynet approved establishment #H793. Scope: FFPP-S. Business #980654206.
H801,Taupo As (Mattilsynet #H801),Taupo As,Norway,,Bømlo,"Hovlandsvegen 18, 5443 Bømlo, Norway",59.6020566,5.2107271,10,"Hovlandsvegen 18, 5443 Bømlo, Norway",FFPP-SA,,,,,920709176,approved,true,documentation_verified,Mattilsynet approved establishment #H801. Scope: Fresh fishery products processing - salmon/aquaculture. Business #920709176.
H805,Thermo Service As (Mattilsynet #H805),Thermo Service As,Norway,,Storebø,"Alfabygget, 5392 Storebø, Norway",60.0928583,5.2238832,9,"Alfabygget, 5392 Storebø, Norway",FFPP-SA,,,,,915561640,approved,true,documentation_verified,Mattilsynet approved establishment #H805. Scope: Fresh fishery products processing - salmon/aquaculture. Business #915561640.
H806,Hauglaks (Mattilsynet #H806),Hauglaks,Norway,,Bergen,"Christian Michelsens Gate 6b, 5012 Bergen, Norway",60.3930996,5.3219706,10,"Christian Michelsens gate 6B, 5012 Bergen, Norway","FFPP-P, FFPP-SA",,,,,921449526,approved,true,documentation_verified,"Mattilsynet approved establishment #H806. Scope: Fresh fishery products processing - pelagic, Fresh fishery products processing - salmon/aquaculture. Business #921449526."
H815,Seivik As (Mattilsynet #H815),Seivik As,Norway,,Torangsvåg,"Austevollshellevegen 67, 5384 Torangsvåg, Norway",60.106058,5.17567,10,"Austevollshellevegen 67, 5384 Torangsvåg, Norway",FFPP-SA,,,,,995410559,approved,true,documentation_verified,Mattilsynet approved establishment #H815. Scope: Fresh fishery products processing - salmon/aquaculture. Business #995410559.
H816,Konrad Sekkingstad As (Mattilsynet #H816),Konrad Sekkingstad As,Norway,,Fjell,"Apalvågvegen 42, 5357 Fjell, Norway",60.3513696,4.9860669,10,"Apalvågvegen 42, 5357 Fjell, Norway",FFPP,,,,,974101998,approved,true,documentation_verified,Mattilsynet approved establishment #H816. Scope: Fresh fishery products processing. Business #974101998.
H819,Taupiri As (Mattilsynet #H819),Taupiri As,Norway,,Bømlo,"Hovlandsvegen 18, 5443 Bømlo, Norway",59.6020566,5.2107271,10,"Hovlandsvegen 18, 5443 Bømlo, Norway",FFPP-SA,,,,,920971172,approved,true,documentation_verified,Mattilsynet approved establishment #H819. Scope: Fresh fishery products processing - salmon/aquaculture. Business #920971172.
