approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
T1110,Egil Antonsen,Egil Antonsen,"Tovikstrand, 9445.0 Tovik, Norway",Tovik,Norway,PP-ST,,923907769.0
T1112,Ståle Pettersen,Ståle Pettersen,"Elvelund 24, 9310.0 Sørreisa, Norway",Sørreisa,Norway,PP-ST,,nan
T1115,Jarle Cedly Johansen,Jarle Cedly Johansen,"Navaren 81, 9321.0 Moen, Norway",Moen,Norway,PP-ST,,nan
T1116,Ole-Martin Karlsen,Ole-Martin Karlsen,"Storbergveien 13, 9402.0 Harstad, Norway",Harstad,Norway,PP-ST,,nan
T1117,Per Inge Eliseussen,Per Inge Eliseussen,"Ibestadveien 362, 9453.0 Kråkrøhamn, Norway",Kråkrøhamn,Norway,PP-ST,,nan
T1118,Norvald Nicolaisen,Norvald Nicolaisen,"Hågen 17, 9446.0 Grovfjord, Norway",Grovfjord,Norway,PP-ST,,980815579.0
T1119,Evald Andreassen,Evald Andreassen,"Sifjord, 9395.0 Kaldfarnes, Norway",Kaldfarnes,Norway,PP-ST,,nan
T1120,Sigfred Johannes Olsen,Sigfred Johannes Olsen,"Kåfjorddalen, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,nan
T1123,Aronsen Odd-Verner,Aronsen Odd-Verner,"Toften, 9064.0 Svensby, Norway",Svensby,Norway,PP-ST,,977970563.0
T1124,Arvid Sverre Johansen,Arvid Sverre Johansen,"Navaren, 9321.0 Moen, Norway",Moen,Norway,PP-ST,,nan
T1128,Hansen Odd G,Hansen Odd G,"Nedre Jensvoll 11, 9060.0 Lyngseidet, Norway",Lyngseidet,Norway,PP-ST,,977943558.0
T1130,Nordnesfisk As,Nordnesfisk As,"Nordnes, 9144.0 Samuelsberg, Norway",Samuelsberg,Norway,PP-ST,,980662365.0
T1131,Jan Hansen,Jan Hansen,"Spellemannsdalen 20, 9180.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,977966779.0
T1132,Willy Jensen,Willy Jensen,"Skavåsen 29, 9020.0 Tromsdalen, Norway",Tromsdalen,Norway,PP-ST,,nan
T1134,Olsen Arne,Olsen Arne,"nan, 9161.0 Burfjord, Norway",Burfjord,Norway,PP-ST,,873700572.0
T1136,Gamst Terje,Gamst Terje,"Boks 376, 9189.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,917560862.0
T1139,John E Olsen,John E Olsen,"Vorterøy, 9180.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,993664375.0
T1140,Kjell Nilsen,Kjell Nilsen,"Kjøtta 60, 9424.0 Kjøtta, Norway",Kjøtta,Norway,PP-ST,,978236197.0
T1141,Kåre Olsen As,Kåre Olsen As,"nan, 9161.0 Burfjord, Norway",Burfjord,Norway,PP-ST,,919244461.0
T1142,Karl Arne Olsen,Karl Arne Olsen,"nan, 9161.0 Burfjord, Norway",Burfjord,Norway,PP-ST,,994299999.0
T1144,Jan Johansen Fiskebåt,Jan Johansen Fiskebåt,"Vorterøyveien 92, 9180.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,976119800.0
T1147,Ansgar Eilif Hansen,Ansgar Eilif Hansen,"Løkvoll, 9144.0 Samuelsberg, Norway",Samuelsberg,Norway,PP-ST,,nan
T1148,Nils Samuelsen,Nils Samuelsen,"nan, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,nan
T1149,Gunnar Anton Fredlund,Gunnar Anton Fredlund,"Grønnmyrveien 1, 9144.0 Samuelsberg, Norway",Samuelsberg,Norway,PP-ST,,nan
T1150,Kristoffersen Hugo,Kristoffersen Hugo,"Jøvik, 9302.0 Rossfjordstraumen, Norway",Rossfjordstraumen,Norway,PP-ST,,978150985.0
T1153,Kjell Ivar Johan Lilleng,Kjell Ivar Johan Lilleng,"Straumbotnveien 38, 9455.0 Engenes, Norway",Engenes,Norway,PP-ST,,nan
T1154,Hallgeir Noralf Nilsen,Hallgeir Noralf Nilsen,"Andørjaveien 2074, 9455.0 Engenes, Norway",Engenes,Norway,PP-ST,,nan
T1155,Harry Konrad Adolfsen,Harry Konrad Adolfsen,"Verftsveien 16, 9180.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,nan
T1157,Jarle Olsen,Jarle Olsen,"nan, 9185.0 Spildra, Norway",Spildra,Norway,PP-ST,,878135172.0
T1158,Trond Hågensen As,Trond Hågensen As,"Postboks 286, 9189.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,978576974.0
T1159,Larsen Olav Fredrik,Larsen Olav Fredrik,"Navaren, 9321.0 Moen, Norway",Moen,Norway,PP-ST,,978366015.0
T1162,Jarle Myrhaug,Jarle Myrhaug,"nan, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,977539293.0
T1164,Gamst Steinar,Gamst Steinar,"Langnesbukt, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,974067927.0
T1165,Helge Magne Pedersen,Helge Magne Pedersen,"Langnes, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,nan
T1167,Ole Leon Hanssen,Ole Leon Hanssen,"Dyrøyveien 588, 9311.0 Brøstadbotn, Norway",Brøstadbotn,Norway,PP-ST,,993922447.0
T1170,Arnold Jensen,Arnold Jensen,"Myrslett, 9151.0 Storslett, Norway",Storslett,Norway,PP-ST,,969614960.0
T1171,Terje Solås,Terje Solås,"Straumfjordnes, 9151.0 Storslett, Norway",Storslett,Norway,PP-ST,,nan
T1173,Spindaj,Spindaj,"Dunvik, 9185.0 Spildra, Norway",Spildra,Norway,"FFPP, PP, PP-ST",,986163034.0
T1176,Egil Andersen,Egil Andersen,"Badderen, 9162.0 Sørstraumen, Norway",Sørstraumen,Norway,PP-ST,,nan
T1179,Odd Isaksen,Odd Isaksen,"Badderen, 9162.0 Sørstraumen, Norway",Sørstraumen,Norway,PP-ST,,980918963.0
T1181,Arnold Mikkelsen,Arnold Mikkelsen,"Stornes, 9151.0 Storslett, Norway",Storslett,Norway,PP-ST,,969267632.0
T1182,Arnt Torleif Johansen,Arnt Torleif Johansen,"Kåfjorddalen, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,878236092.0
T1183,Gudmund H Samuelsen,Gudmund H Samuelsen,"nan, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,nan
T1184,Arne Samuelsen,Arne Samuelsen,"Rotsundveien 988, 9153.0 Rotsund, Norway",Rotsund,Norway,PP-ST,,nan
T1185,Bjørg Solveig Johansen,Bjørg Solveig Johansen,"Vorterøy, 9189.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,nan
T1186,Simon Per Petter Fallmyr,Simon Per Petter Fallmyr,"Stornesveien 368, 9402.0 Harstad, Norway",Harstad,Norway,PP-ST,,nan
T1187,Slottet Fiskebåtrederi As,Slottet Fiskebåtrederi As,"Slottet, 9153.0 Rotsund, Norway",Rotsund,Norway,PP-ST,,984211635.0
T1188,Jan Kåre Karlsen,Jan Kåre Karlsen,"Skarpsno 14, 9151.0 Storslett, Norway",Storslett,Norway,PP-ST,,978115098.0
T1189,Svein Asbjørn Berg,Svein Asbjørn Berg,"Øvre Baisit 7, 9152.0 Sørkjosen, Norway",Sørkjosen,Norway,PP-ST,,nan
T1190,Steffensen Maritim As,Steffensen Maritim As,"Postboks 203, 9189.0 Skjervøy, Norway",Skjervøy,Norway,PP-ST,,986752323.0
T1191,Po Myrvoll As,Po Myrvoll As,"Melen, 9147.0 Birtavarre, Norway",Birtavarre,Norway,PP-ST,,997986962.0
T1192,Bioform As,Bioform As,"Bjørgaveien 2, 9310.0 Sørreisa, Norway",Sørreisa,Norway,"FFPP-P, PP-MA",,981549147.0
T1195,Kasper Villiam Johannessen,Kasper Villiam Johannessen,"Oksfjordhamn, 9151.0 Storslett, Norway",Storslett,Norway,PP-ST,,nan
T1198,Roger A Pedersen,Roger A Pedersen,"Dunvik, 9185.0 Spildra, Norway",Spildra,Norway,PP-ST,,978050352.0
T1199,Kristian Ingolf Solstad,Kristian Ingolf Solstad,"Øvermyra, 9144.0 Samuelsberg, Norway",Samuelsberg,Norway,PP-ST,,nan
T1200,Arnfinn Pedersen,Arnfinn Pedersen,"Langfjord, 9192.0 Arnøyhamn, Norway",Arnøyhamn,Norway,PP-ST,,978255612.0
T1201,Pavel Vavrina,Pavel Vavrina,"Stajord, 9161.0 Burfjord, Norway",Burfjord,Norway,PP-ST,,998747457.0
T1205,Arctic Filet As,Arctic Filet As,"Værnesveien 101, 9381.0 Torsken, Norway",Torsken,Norway,"FFPP-P, PP",,995345781.0
T1208,Kjækan Gård - Trond Jensen,Kjækan Gård - Trond Jensen,"Kjækan, 9162.0 Sørstraumen, Norway",Sørstraumen,Norway,"FFPP, FFPP-P, PP-SA, PP-ST",,993702897.0
T1210,Trond Bjørnar Johnsen,Trond Bjørnar Johnsen,"Dorras, 9162.0 Sørstraumen, Norway",Sørstraumen,Norway,PP-ST,,896914502.0
T1229,Hans Tore Simonsen,Hans Tore Simonsen,"Tønsvikvegen 1174, 9022.0 Krokelvdalen, Norway",Krokelvdalen,Norway,PP-ST,,979879857.0
T1231,Vatnan Slipp,Vatnan Slipp,"Vatnan, 9130.0 Hansnes, Norway",Hansnes,Norway,PP-ST,,973354205.0
T1232,Pettersen Steinar,Pettersen Steinar,"Dåfjord, 9130.0 Hansnes, Norway",Hansnes,Norway,PP-ST,,972505021.0
T1234,Alf Johan Hemmingsen,Alf Johan Hemmingsen,"Alf Johan Hemmingsen, 9100.0 Kvaløysletta, Norway",Kvaløysletta,Norway,PP-ST,,nan
T1236,Myrnes Konrad A,Myrnes Konrad A,"Naustbuktveien 63, 9100.0 Kvaløysletta, Norway",Kvaløysletta,Norway,PP-ST,,969652005.0
T1237,Reidar Eilif Pettersen,Reidar Eilif Pettersen,"Håkøyveien 309, 9100.0 Kvaløysletta, Norway",Kvaløysletta,Norway,PP-ST,,nan
T1253,Arctic Food Lab As,Arctic Food Lab As,"Utsikten 131, 9018.0 Tromsø, Norway",Tromsø,Norway,"FFPP, PP",,834945592.0
T1256,Kato Per Henriksen Løvstad,Kato Per Henriksen Løvstad,"Botnhamnveien 506, 9373.0 Botnhamn, Norway",Botnhamn,Norway,PP-ST,,nan
T1260,Årvikbruket As,Årvikbruket As,"Årviksand, 9195.0 Årviksand, Norway",Årviksand,Norway,FFPP,,974120909.0
T1265,Seabit As,Seabit As,"Tromsøysundvegen 38, 9020.0 Tromsdalen, Norway",Tromsdalen,Norway,"PP, PP-ST",,922714347.0
T1273,Jensen Paul Oddgeir,Jensen Paul Oddgeir,"Dalvegen 6, 9107.0 Kvaløya, Norway",Kvaløya,Norway,FFPP,,978189261.0
T1276,Chitinor As,Chitinor As,"Ringveien 100, 9018.0 Tromsø, Norway",Tromsø,Norway,PP-MA,,932508427.0
T1284,Olsen Kystfiske,Olsen Kystfiske,"Spilderveien 563, 9185.0 Spildra, Norway",Spildra,Norway,PP-ST,,922557241.0
T1289,Oldervik Fiskeindustri As,Oldervik Fiskeindustri As,"Oldervikvegen 516, 9034.0 Oldervik, Norway",Oldervik,Norway,"FFPP, RW",,987674032.0
T2426,Finnsnes Dykk & Anleggsservice As,Finnsnes Dykk & Anleggsservice As,"Strandveien 112, 9300.0 Finnsnes, Norway",Finnsnes,Norway,FFPP-SA,,984339771.0
T 1160,Domstein Sjømat As Avd Tromsø,Domstein Sjømat As Avd Tromsø,"Ropnesvegen 69, 9107.0 Kvaløya, Norway",Kvaløya,Norway,"FFPP, FFPP-P, PP, PP-C",,972186104.0
TF4,Øksfjord Fiskeindustri As,Øksfjord Fiskeindustri As,"Njordveien 6, 9550.0 Øksfjord, Norway",Øksfjord,Norway,"FFPP, FFPP-P, PP, PP-SA",,924041773.0
TF7,Amarin As,Amarin As,"Gottesjord, 9310.0 Sørreisa, Norway",Sørreisa,Norway,"FFPP, FFPP-P, PP-ST",,896536982.0
TF9,Myre Fiskemottak As Avd Kamøyvær,Myre Fiskemottak As Avd Kamøyvær,"Risfjordveien 2, 9762.0 Kamøyvær, Norway",Kamøyvær,Norway,"FFPP, FFPP-P, PP, PP-SA",,924885556.0
TF12,Leif-Ammon Länsman,Leif-Ammon Länsman,"Rávttebelgeainu 281, 9840.0 Varangerbotn, Norway",Varangerbotn,Norway,PP-ST,,923098291.0
TF14,Gunnar Klo As Avd Myre,Gunnar Klo As Avd Myre,"Havnegata 3, 8430.0 Myre, Norway",Myre,Norway,FFPP,,973186752.0
TF18,Fjordfisker Olsen Inngår I Dødsbo,Fjordfisker Olsen Inngår I Dødsbo,"Seilandsveien 218, 9609.0 Nordre Seiland, Norway",Nordre Seiland,Norway,PP-ST,,924760249.0
TF23,Myre Fiskemottak As Avd Honningsvåg,Myre Fiskemottak As Avd Honningsvåg,"Kobbhullveien 12, 9750.0 Honningsvåg, Norway",Honningsvåg,Norway,"FFPP, FFPP-P",,925519022.0
TF24,Mathisen Fjord Og Kystfiske,Mathisen Fjord Og Kystfiske,"Rávttebelgeainu 1922, 9840.0 Varangerbotn, Norway",Varangerbotn,Norway,PP-ST,,919981687.0
TF26,Sjøland As,Sjøland As,"Håndverkervegen 12, 9018.0 Tromsø, Norway",Tromsø,Norway,"FFPP, PP",,987792175.0
TF33,Øksfjord Lakseindustri As,Øksfjord Lakseindustri As,"Njordveien 6, 9550.0 Øksfjord, Norway",Øksfjord,Norway,"FFPP, FFPP-P",,825004092.0
TF48,Budiak Natalia Sin Fiskelykke,Budiak Natalia Sin Fiskelykke,"Rådhusveien 3, 9790.0 Kjøllefjord, Norway",Kjøllefjord,Norway,PP-ST,,925469394.0
TF50,Trond Fjellsaune,Trond Fjellsaune,"Hammarveien 9, 9425.0 Sandsøy, Norway",Sandsøy,Norway,PP-ST,,913246713.0
TF57,Arctic Catch As,Arctic Catch As,"Ørtangen 10, 9800.0 Vadsø, Norway",Vadsø,Norway,FFPP,,993277525.0
TF61,Randi Ree,Randi Ree,"Kårhamnsvingen 1, 9657.0 Kårhamn, Norway",Kårhamn,Norway,PP-ST,,925402591.0
TF62,Torsken Fiskeindustri As,Torsken Fiskeindustri As,"Værnesveien 105, 9381.0 Torsken, Norway",Torsken,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,925631248.0
TF64,Gamst Shilova As,Gamst Shilova As,"Svartnes, 9955.0 Svartnes, Norway",Svartnes,Norway,"FFPP, PP-C",,925805211.0
TF66,Dragøy Grossist As,Dragøy Grossist As,"Huldervegen 18, 9016.0 Tromsø, Norway",Tromsø,Norway,"FFPP, FFPP-P, PP-SA",,918486879.0
TF70,Havøysund Fisk As,Havøysund Fisk As,"Strandgata 157, 9690.0 Havøysund, Norway",Havøysund,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-SA",,928521400.0
TF73,Liholmen Produksjon As,Liholmen Produksjon As,"Liholmen, 9991.0 Båtsfjord, Norway",Båtsfjord,Norway,PP-MA,,986666931.0
TF75,Meron As,Meron As,"Tanafjordveien 3032, 9841.0 Tana, Norway",Tana,Norway,PP-ST,,923198954.0
TF76,Lyder Fisk Torhop,Lyder Fisk Torhop,"Børresenveien 63, 9841.0 Tana, Norway",Tana,Norway,FFPP,,928520188.0
TF77,Jacobsens Fisk Og Fangst,Jacobsens Fisk Og Fangst,"Laukøyveien 801, 9193.0 Nikkeby, Norway",Nikkeby,Norway,PP-ST,,827235482.0
TF79,Smalfjord Mottak As,Smalfjord Mottak As,"Masjokdalen 112, 9841.0 Tana, Norway",Tana,Norway,FFPP,,928282112.0
TF83,Jan Gunnar Nilsen,Jan Gunnar Nilsen,"Sørstraumvegen 679, 9045.0 Lakselvbukt, Norway",Lakselvbukt,Norway,PP-ST,,nan
TF95,Lyngsskjellan V/Arne Samuelsen,Lyngsskjellan V/Arne Samuelsen,"Gambukta 18, 9146.0 Olderdalen, Norway",Olderdalen,Norway,PP-MA,,913611098.0
TF104,Tromsø Sentralkjøkken,Tromsø Sentralkjøkken,"Solstrandveien 1, 9020.0 Tromsdalen, Norway",Tromsdalen,Norway,FFPP-P,,928485528.0
TF107,Sufi As Avd Bergsfjord,Sufi As Avd Bergsfjord,"Solveien 38, 9580.0 Bergsfjord, Norway",Bergsfjord,Norway,"FFPP, FFPP-P, PP, PP-ST",,932838036.0
TF423,Salmar As Avd Slakterianlegg,Salmar As Avd Slakterianlegg,"Vikaveien 419, 9303.0 Silsand, Norway",Silsand,Norway,"FFPP-P, FFPP-SA",,921886772.0
TK73,Kragerø Sjømat As,Kragerø Sjømat As,"Brygga 3, 3770.0 Kragerø, Norway",Kragerø,Norway,"FFPP, PP, PP-C",,971722363.0
TK75,Langesundfisk As,Langesundfisk As,"Stoa 13, 3970.0 Langesund, Norway",Langesund,Norway,"FFPP, PP, PP-C",,914909856.0
TK241,Norsk Fiskeeksport As,Norsk Fiskeeksport As,"Tinnegrendvegen 93, 3683.0 Notodden, Norway",Notodden,Norway,FFPP-P,,932994275.0
TK243,Hima Seafood Rjukan As Avd Prod Av Matfisk,Hima Seafood Rjukan As Avd Prod Av Matfisk,"Svaddeveien 129, 3660.0 Rjukan, Norway",Rjukan,Norway,FFPP-SA,,915331823.0
TK407,Lunde Arild,Lunde Arild,"Nystrandveien 86, 3944.0 Porsgrunn, Norway",Porsgrunn,Norway,PP-C,,978443095.0
TK426,Espen Danielsen,Espen Danielsen,"Ugleveien 8, 3940.0 Porsgrunn, Norway",Porsgrunn,Norway,PP-C,,979328192.0
TK427,Alf Thommesen,Alf Thommesen,"Vaterlands Gate 22, 3970.0 Langesund, Norway",Langesund,Norway,PP-C,,978345379.0
TK429,Thomsen Thor-Olaf,Thomsen Thor-Olaf,"Ørvikveien 36, 3970.0 Langesund, Norway",Langesund,Norway,PP-C,,978102948.0
TK430,Tverrån Arne Helge,Tverrån Arne Helge,"Frosteveien 251, 3967.0 Stathelle, Norway",Stathelle,Norway,PP-C,,986687459.0
TK438,Telemarkrøye As,Telemarkrøye As,"Molandsmoen 3, 3870.0 Fyresdal, Norway",Fyresdal,Norway,FFPP-SA,,998141311.0
TK440,Langesund Sjømat As,Langesund Sjømat As,"Stoa 7, 3970.0 Langesund, Norway",Langesund,Norway,"PP, RW",,971823003.0
TL3,Blåfjell As,Blåfjell As,"Jule Industriområde, 7884.0 Sørli, Norway",Sørli,Norway,"FFPP-P, FFPP-SA",,816514932.0
TL6,Vikahav As,Vikahav As,"Myrahaugen 19, 7180.0 Roan, Norway",Roan,Norway,FFPP-SA,,998635799.0
TL7,Frøya Gourmet As,Frøya Gourmet As,"Norfrøyveien 957, 7270.0 Dyrvik, Norway",Dyrvik,Norway,"FFPP, FFPP-P",,920781918.0
TL11,Abelvær Filetfabrikk As,Abelvær Filetfabrikk As,"Abelværvegen 1773, 7950.0 Abelvær, Norway",Abelvær,Norway,FFPP-P,,922560420.0
TL15,Hbc Berkåk As,Hbc Berkåk As,"Postmyrveien 20, 7391.0 Rennebu, Norway",Rennebu,Norway,PP-MA,,899098382.0
TL16,Hitra Salmon As,Hitra Salmon As,"Svenesveien 3, 7250.0 Melandsjø, Norway",Melandsjø,Norway,"PP, PP-C",,920841554.0
TL17,Sintef Ocean As,Sintef Ocean As,"Brattørkaia 17c, 7010.0 Trondheim, Norway",Trondheim,Norway,PP-MA,,972130931.0
TL23,Grøntvedt Pelagic As Avd Uthaug,Grøntvedt Pelagic As Avd Uthaug,"Vestre Brekstad, 7130.0 Brekstad, Norway",Brekstad,Norway,RW,,974158930.0
TL25,Krifo Fisk Og Fiskmat As,Krifo Fisk Og Fiskmat As,"Roan Havn 37, 7180.0 Roan, Norway",Roan,Norway,"FFPP, FFPP-P, PP, PP-SA",,820424832.0
TL26,Karmaceli As,Karmaceli As,"Strandaveien 264, 7740.0 Steinsdalen, Norway",Steinsdalen,Norway,"FFPP, FFPP-P, RW",,985209510.0
TL29,Kime Akva Uttian As,Kime Akva Uttian As,"Hestøyveien 66, 7270.0 Dyrvik, Norway",Dyrvik,Norway,FFPP,,826427922.0
TL33,Lerøy Norge As Avd Trondheim,Lerøy Norge As Avd Trondheim,"Pir I 7, 7010.0 Trondheim, Norway",Trondheim,Norway,FFPP-P,,976950666.0
TL35,Hansson As,Hansson As,"Frøneshaugen, 7170.0 Åfjord, Norway",Åfjord,Norway,FFPP,,914348900.0
TL36,Frøy Rederi As,Frøy Rederi As,"Nordfrøyveien 213, 7260.0 Sistranda, Norway",Sistranda,Norway,FFPP-SA,,911626675.0
TL39,Thai Tham As,Thai Tham As,"Hallemvegen 20, 7715.0 Steinkjer, Norway",Steinkjer,Norway,PP,,920707882.0
TL40,Grøntvedt Pelagic As Avd Uthaug Grøntvedt Nutri,Grøntvedt Pelagic As Avd Uthaug Grøntvedt Nutri,"Havneveien 1, 7142.0 Uthaug, Norway",Uthaug,Norway,PP-MA,,922711240.0
TL41,Grande Sjømat As,Grande Sjømat As,"Havneveien 55, 7142.0 Uthaug, Norway",Uthaug,Norway,FFPP,,972109290.0
TL42,Hyra Shellfish As,Hyra Shellfish As,"Eidshaugvegen 1650, 7940.0 Ottersøy, Norway",Ottersøy,Norway,"FFPP, PP-C",,931707795.0
TL43,Nutrishell As,Nutrishell As,"Knarrlagsundveien 325, 7241.0 Ansnes, Norway",Ansnes,Norway,PP-MA,,926825348.0
TL49,Hubert Weigold,Hubert Weigold,"Vingvågen 41, 7255.0 Sundlandet, Norway",Sundlandet,Norway,PP,,994349775.0
TL50,Kokkeriet As,Kokkeriet As,"Tempeveien 33-35, 7031 Trondheim, 7031.0 Trondheim, Norway",Trondheim,Norway,RW,,818427492.0
TL51,Roan Lakseslakteri As,Roan Lakseslakteri As,"Roan Havn 37, 7180.0 Roan, Norway",Roan,Norway,"FFPP-P, FFPP-SA",,932446545.0
TL52,Måsøval Harvest As,Måsøval Harvest As,"Ulvøyveien 177, 7242.0 Knarrlagsund, Norway",Knarrlagsund,Norway,"FFPP-P, FFPP-SA",,933059863.0
TL54,Rørosfisk As,Rørosfisk As,"Aursundveien 1272, 7372.0 Glåmos, Norway",Glåmos,Norway,"FFPP-P, PP",,933475107.0
TL55,Grande Sjømat As,Grande Sjømat As,"Kvaløysæter Kai, 7770.0 Flatanger, Norway",Flatanger,Norway,FFPP,,972109290.0
TL56,Produksjonskjøkken,Produksjonskjøkken,"Ranheimsvegen 91, 7060.0 Charlottenlund, Norway",Charlottenlund,Norway,FFPP-P,,985627576.0
TL 37,Rørvik Fisk As,Rørvik Fisk As,"Ramstadlandveien 692, 7924.0 Austafjord, Norway",Austafjord,Norway,FFPP,,884084652.0
VA2,Båly Fisk As,Båly Fisk As,"Båly, 4521.0 Spangereid, Norway",Spangereid,Norway,"FFPP, FFPP-P",,990629897.0
VA62,Finny Sirevaag As,Finny Sirevaag As,"Midtbø 1, 4420.0 Åna-Sira, Norway",Åna-Sira,Norway,"PP, PP-MA",,984260016.0
VA69,Hidra Fiskemottak As,Hidra Fiskemottak As,"Kirkehamnveien 154, 4432.0 Hidrasund, Norway",Hidrasund,Norway,"FFPP, FFPP-S, PP-C",,971785896.0
VA90,Fiskelaget As,Fiskelaget As,"Gismerøyveien 150, 4515.0 Mandal, Norway",Mandal,Norway,"FFPP, FFPP-P, PP",,887263752.0
VA94,Fiskesalg As Avd Gravane,Fiskesalg As Avd Gravane,"Gravane 8, 4610.0 Kristiansand S, Norway",Kristiansand S,Norway,"FFPP, FFPP-P, PP",,973210785.0
VA96,Reinhartsen Engros As,Reinhartsen Engros As,"Gravane 8, 4610.0 Kristiansand S, Norway",Kristiansand S,Norway,"FFPP, FFPP-P, PP",,995729385.0
VA202,Flykjøkkenet As,Flykjøkkenet As,"Lista Fly Og Næringspark, 4560.0 Vanse, Norway",Vanse,Norway,FFPP-P,,980526623.0
VA207,Gorines As,Gorines As,"Skytterheia 7, 4790.0 Lillesand, Norway",Lillesand,Norway,PP,,994575511.0
VA456,Stolt Sea Farm Turbot Norway As,Stolt Sea Farm Turbot Norway As,"Øyesletta 63, 4484.0 Øyestranda, Norway",Øyestranda,Norway,FFPP-S,,977359260.0
VA 204,Domstein Sjømat As Avd Kristiansand,Domstein Sjømat As Avd Kristiansand,"Østerøya 242, 4625.0 Flekkerøy, Norway",Flekkerøy,Norway,"FFPP, FFPP-P",,979195095.0
VF58,Brødr Berggren As,Brødr Berggren As,"Tollbodgt. 1, 3290.0 Stavern, Norway",Stavern,Norway,FFPP,,974073420.0
VF60,Brødr Berggren As,Brødr Berggren As,"Brygga 11, 3210.0 Sandefjord, Norway",Sandefjord,Norway,"FFPP, FFPP-P, PP",,974073420.0
VF64,Brødr Berggren As,Brødr Berggren As,"Fynveien 1, 3148.0 Hvasser, Norway",Hvasser,Norway,"FFPP, FFPP-P",,974073420.0
VF203,Matbørsen As,Matbørsen As,"Borgeskogen, 3160.0 Stokke, Norway",Stokke,Norway,"PP, PP-C",,974274213.0
VF242,Færder Fiskemottak As,Færder Fiskemottak As,"Tenvikveien 373, 3140.0 Nøtterøy, Norway",Nøtterøy,Norway,FFPP,,933169081.0
VF246,Futurum Seafood As Avd Asker,Futurum Seafood As Avd Asker,"Borgeskogen 65, 3160.0 Stokke, Norway",Stokke,Norway,"FFPP-P, PP, PP-C",,917893705.0
VF328,Basf As Avd Sandefjord,Basf As Avd Sandefjord,"Framnesveien 41, 3222.0 Sandefjord, Norway",Sandefjord,Norway,PP-MA,,873159502.0
VF331,Nevlunghavn Brygge As,Nevlunghavn Brygge As,"Brunlanesveien 1505, 3296.0 Nevlunghavn, Norway",Nevlunghavn,Norway,FFPP,,914960703.0
VI1,Troll Salmon As,Troll Salmon As,"Torvuttaket 78, 1540.0 Vestby, Norway",Vestby,Norway,"FFPP-P, PP",,924205180.0
VI3,Live Seafood Center As Avd. Kløfta,Live Seafood Center As Avd. Kløfta,"Dyrskuevegen 3, 2040.0 Kløfta, Norway",Kløfta,Norway,RW,,924833718.0
VI4,Healthpack As,Healthpack As,"Nypeveien 15, 3032.0 Drammen, Norway",Drammen,Norway,RW,,918863737.0
VI6,Nordic Kingfish Fredrikstad As Avd Fiskeslakteri,Nordic Kingfish Fredrikstad As Avd Fiskeslakteri,"C/O Øra Industripark As, 1630.0 Gamle Fredrikstad, Norway",Gamle Fredrikstad,Norway,FFPP-SA,,926496980.0
VI12,Nutritionlab As,Nutritionlab As,"Solgaard Skog 3, 1599.0 Moss, Norway",Moss,Norway,PP-MA,,918140603.0
VI16,Hvaler Krabbe As,Hvaler Krabbe As,"Greåkerveien 145, 1718.0 Greåker, Norway",Greåker,Norway,PP-C,,825359532.0
VI17,Domstein Sjømat As Avd Oslo,Domstein Sjømat As Avd Oslo,"Brennaveien 20b, 1481.0 Hagan, Norway",Hagan,Norway,"FFPP-P, RW",,996339025.0
VI18,Filetfabrikken As,Filetfabrikken As,"Brennaveien 20b, 1481.0 Hagan, Norway",Hagan,Norway,FFPP-P,,929388879.0
VI19,Domstein Sjømat Produksjon As,Domstein Sjømat Produksjon As,"Brenneaveien 20b, 1481.0 Hagan, Norway",Hagan,Norway,PP,,999105467.0
VI20,1814salmon As,1814salmon As,"Industrivegen 82, 2072.0 Dal, Norway",Dal,Norway,FFPP-P,,929508998.0
VI21,Aker Biomarine Understory As Avd Lysaker,Aker Biomarine Understory As Avd Lysaker,"Anolitveien 1-3, 1400.0 Ski, Norway",Ski,Norway,PP-MA,,932572249.0
VL2,Taumar As,Taumar As,"Hovlandsvegen 18, 5443.0 Bømlo, Norway",Bømlo,Norway,FFPP-SA,,924657820.0
VL16,Thermo Service As,Thermo Service As,"Alfabygget, 5392.0 Storebø, Norway",Storebø,Norway,FFPP-SA,,915561640.0
VL19,Sjøprodukt As,Sjøprodukt As,"Kalvøyna 8, 6729.0 Kalvåg, Norway",Kalvåg,Norway,FFPP-SA,,920424201.0
