approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
N681,King Oscar As Avd Svolvær,King Oscar As Avd Svolvær,"Storgata 2, 8300.0 Svolvær, Norway",Svolvær,Norway,"PP, PP-MA",,980900797.0
N717,Saga Fisk As,Saga Fisk As,"H. Chr. Størmers Gate 22, 8300.0 Svolvær, Norway",Svolvær,Norway,"PP-SA, PP-ST",,996723526.0
N741,Ellingsen Seafood As Avd Hovedkontor,Ellingsen Seafood As Avd Hovedkontor,"Været 2, 8320.0 Skrova, Norway",Skrova,Norway,"FFPP, PP, PP-SA, PP-ST",,972718807.0
N742,Ellingsen Seafood As Avd Hovedkontor,Ellingsen Seafood As Avd Hovedkontor,"Været 2, 8320.0 Skrova, Norway",Skrova,Norway,FFPP-SA,,972718807.0
N830,Pelagia Lødingen,Pelagia Lødingen,"Industrivegen 4a, 8410.0 Lødingen, Norway",Lødingen,Norway,"FFPP, FFPP-P",,972349356.0
N849,Skaga Processing As,Skaga Processing As,"Korsnesveien 177, 8275.0 Storjorda I Tysfjorden, Norway",Storjorda I Tysfjorden,Norway,FFPP-P,,934501330.0
N879,Nordfold Fiskerikai As,Nordfold Fiskerikai As,"Nordfold, 8286.0 Nordfold, Norway",Nordfold,Norway,FFPP,,973809636.0
N880,Steigen Sjømat As,Steigen Sjømat As,"Helnessund, 8285.0 Leines, Norway",Leines,Norway,"FFPP, FFPP-P, PP, PP-SA",,990072957.0
N891,Dyping Og Omegn Fiskemottak Sa,Dyping Og Omegn Fiskemottak Sa,"Dyping, 8288.0 Bogøy, Norway",Bogøy,Norway,FFPP,,872572732.0
N893,Helligvær Sjømat As,Helligvær Sjømat As,"Sørværveien 2, 8095.0 Helligvær, Norway",Helligvær,Norway,"FFPP, FFPP-P, PP, PP-ST",,987004053.0
N905,Bofisk As,Bofisk As,"Prinsens Gate 148 A, 8003.0 Bodø, Norway",Bodø,Norway,"FFPP, FFPP-P, PP",,984154208.0
N918,Strøksnes Utleiebygg As,Strøksnes Utleiebygg As,"Styrkesnes, 8264.0 Engan, Norway",Engan,Norway,FFPP,,873717092.0
N950,Salten N950 As,Salten N950 As,"Arnøyveien 1, 8135.0 Sørarnøy, Norway",Sørarnøy,Norway,"FFPP-P, FFPP-SA",,973676040.0
N991,Træna Sjømat As,Træna Sjømat As,"Slenesveien 3, 8762.0 Sleneset, Norway",Sleneset,Norway,FFPP,,929720261.0
N994,Brødrene Jtb Olsen As,Brødrene Jtb Olsen As,"Postboks 13, 8193.0 Rødøy, Norway",Rødøy,Norway,"FFPP, PP, PP-SA, PP-ST",,972002224.0
N1000,Jensen Benjamin As,Jensen Benjamin As,"Napp, 8382.0 Napp, Norway",Napp,Norway,"FFPP, PP-ST, RW",,972253952.0
N1001,Træna Sjømat As,Træna Sjømat As,"Stongveien 18, 8742.0 Selvær, Norway",Selvær,Norway,FFPP,,929720261.0
N1003,Træna Sjømat As,Træna Sjømat As,"nan, 8198.0 Nordnesøy, Norway",Nordnesøy,Norway,FFPP,,929720261.0
N1005,Jim Roger Monsen,Jim Roger Monsen,"Lyngvågen, 8195.0 Gjerøy, Norway",Gjerøy,Norway,"FFPP, FFPP-P, PP-SA, PP-ST, RW",,981000684.0
N1006,Nord-Reker As,Nord-Reker As,"Kvina, 8752.0 Konsvikosen, Norway",Konsvikosen,Norway,"FFPP, PP-C",,972272787.0
N1008,Aldra Fiskalag,Aldra Fiskalag,"Aldersundveien 404, 8730.0 Bratland, Norway",Bratland,Norway,FFPP,,999438881.0
