factory,company,location,website,species,capacity,certifications,byproduct,confidence_species,confidence_capacity,confidence_certifications,confidence_byproduct,evidence_urls,notes,cfia_ref
Alaska General Seafoods - Ketchikan Plant,Alaska General Seafoods,"980 Stedman Street, PO Box 5240, Ketchikan, Alaska 99901, USA",https://www.akgen.com/,Salmon,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.akgen.com | https://www.akgen.com/products,Verified from website text extraction,
Pacific Group Transport (Clackamas),Pacific Seafood,"16797 SE 130th Avenue, Clackamas, Oregon 97015, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Bio Products – Warrenton,Pacific Seafood,"1935 NW Warrenton Dr, Warrenton, Oregon 97146, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Bio Products – Newport,Pacific Seafood,"1310 SE Bay Blvd, Newport, Oregon 97365, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Aquaculture – Shelton,Pacific Seafood,"2821 N Sunnyside Rd, Shelton, Washington 98584, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Aquaculture – Nespelem,Pacific Seafood,"3378 Columbia River Rd, Nespelem, Washington 99155, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Aquaculture – Boxley Springs (North Bend),Pacific Seafood,"46710 SE 161st Street, North Bend, Oregon 97045, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Snow's (Bumble Bee) - Cape May,The Bumble Bee Seafood Company,"994 Ocean Dr, Cape May, New Jersey 08204-5400, USA",https://thebumblebeecompany.com/,Tuna,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://thebumblebeecompany.com,Verified from website text extraction,
StarKist Samoa Tuna Cannery,StarKist Co.,"368 Atu’u Road, Pago Pago, American Samoa 96799, USA",https://starkist.com/,"Salmon, Tuna",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://starkist.com | https://starkist.com/products | https://starkist.com/product,Verified from website text extraction,
Peter Pan Seafood Company - King Cove Facility,"Peter Pan Seafood Company, LLC","500 Cannery Row, King Cove, Alaska 99612, USA",https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=212418,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=212418 | https://alaskaseafoodprocessors.com/index.php?facility&facility_id=kingcove_ppsf | https://www.seafoodsource.com/news/processing-equipment/peter-pan-closing-seafood-processing-facility-in-king-cove-for-alaska-pollock-a-season | https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=212418/products | https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=212418/product | https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=212418/our-products | https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=212418/certifications | https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=212418/certification,Verified from website text extraction,
Pacific Surimi – Newport,Pacific Seafood,"623 SW Bay Blvd, Newport, Oregon 97365, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Shellfish – Willapa (Nahcotta),Pacific Seafood,"3602 E 273rd Street, Nahcotta, Washington 98637, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Shellfish – Tillamook (Bay City),Pacific Seafood,"5150 Hayes Oyster Drive, Bay City, Oregon 97107, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Shellfish – South Bend,Pacific Seafood,"1200 Robert Bush Drive, South Bend, Washington 98586, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Shellfish – Quilcene,Pacific Seafood,"1601 Linger Longer Road, Quilcene, Washington 98376, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Shellfish – Humboldt (Eureka),Pacific Seafood,"25 Waterfront Drive, Eureka, California 95501, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Shellfish – Grays Harbor (Westport),Pacific Seafood,"1980 Nyhus St N, Westport, Washington 98595, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Shellfish – Coos Bay,Pacific Seafood,"63226 Troller Road, Coos Bay, Oregon 97420, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Wrangell,Pacific Seafood,"1204 Zimovia Hwy, Wrangell, Alaska 99929, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Woodland,Pacific Seafood,"1635 Downriver Drive, Woodland, Washington 98674, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Westport,Pacific Seafood,"1980 Nyhus St N, Westport, Washington 98595, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Warrenton,Pacific Seafood,"450 NE Skipanon Dr, Warrenton, Oregon 97146, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Tacoma,Pacific Seafood,"1199 Dock Street, Tacoma, Washington 98401, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Spokane,Pacific Seafood,"17605 E Euclid Ave, Spokane Valley, Washington 99216, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Seward,Pacific Seafood,"200 Lowell Point Road, Seward, Alaska 99664, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
