approval_no,plant_name,company,address,town_region,country,activity,activity_type
PEF.7.0053.15,4 A LOGISTIC,4 A LOGISTIC,"DOUAR LAHFAYA, OULED HADDOU, COMMUNE DE BOUSKOURA, NOUACEUR,CASABLANCA",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PEF.25.0210.19,4 A LOGISTIC 2,4 A LOGISTIC 2,"Lot n° 81, Z I TASSILA III, TIKIOUINE- AGADIR",AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4315,ACE MAREE,ACE MAREE,LOT 141 HO2 ZI SIDI GHANEM ROUTE DE SAFI MARRAKECH,MARRAKECH,Morocco,CONDITIONNEMENT DU POISSON FRAIS ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2918,AFRO PESCA MAROC,AFRO PESCA MAROC,N° 74 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
6047,AGADIR ICE,AGADIR ICE,PORT DE PECHE AGADIR PARCELLE N°247 AGADIR,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
6310,AGADIR OCEAN II,AGADIR OCEAN II,ZONE INDUSTRIELLE AIT MELLOUL BP 1640 AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.59.0098.16,AGRICOLD FRIGO OULED HRIZ,AGRICOLD FRIGO OULED HRIZ,QUARTIER INDUSTRIEL LOT N°2 ROUTE AIN SAYARNI BERCHID,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4070,AL ALYA FISHERIES,AL ALYA FISHERIES,LOT 3 EX MATRAP AVABDRRAHIM BOUABID LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.48.0205.19,ALIDA SEAFOOD AND PROCESSING,ALIDA SEAFOOD AND PROCESSING,Zone d'activité économique Lot N°41 commune urbaine de Jerada,JERADA,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.46.6364.18,ALPHA POISSON,ALPHA POISSON,"KM, 7 ROUTE BERKANE -SAIDIA BERKANE",BERKANE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.50.0223.19,ALTO MARE,ALTO MARE,"PORT DE PECHE DE BENI ENSAR, NADOR",NADOR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2682,AMADIR,AMADIR,"AV AHMED EL HIBA , LOT 855 ZONE INDUSTRIELLE AIT MELLOUL INZEGANE AGADIR",AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1657,AMAPEX,AMAPEX,PARCELLE 50 NOUVEAU PORT AGADIR 80000 AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.60.0192.18,ANASS PESCA,ANASS PESCA,PORT DE MEHDIA KENITRA,KENITRA,Morocco,SALAISON DES ANCHOIS EN FUTS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.27.2171.21,ANDREXPORT,ANDREXPORT,44 AV MED LQBAL BIOUGRA AIT BAHA AGADIR,AGADIR,Morocco,MATURATION ET STOCKAGE DES POISSONS SAL2S,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3718,ANDREXPORT II,ANDREXPORT II,ZONE INDUSTRIELLE D'AIT MELLOUL N° 638 BIS AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3416,ANOL,ANOL,QI ANZA AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.34.0188.18,ANTIPASTI-MED,ANTIPASTI-MED,"ZONE FRANCHE , SECTEUR B1, LOT N°2 , TANGER",TANGER,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4605,AQUASUD,AQUASUD,AV MED V QUARTIER INDUSTRIEL DAKHLA BP 132 DAKHLA,DAKHLA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.0011.14,ARGOB FISH,ARGOB FISH,N°175-176 ZONE INDUSTRIELLE DAKHLA,DAKHLA,Morocco,TRIAGE ET CALIBRAGE DES PETITS PELAGIQUES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.3108.18,ARTERE CONGEL,ARTERE CONGEL,ZONE PORTUAIRE DAKHLA,DAKHLA,Morocco,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PËCHE A L'ETAT FRAIS ET ETETAGE ET EVISCERATION DES PRODUITS DE LA PECHE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.7.0099.16,ASMAK AL OUIFAK,ASMAK AL OUIFAK,DOUAR LAHFAYA KM 11 ROUTE DE MEDIOUNA NOUACEUR CASABLANCA,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PEF.19.0208.19,ASMAK HAOUZ MARRAKECH,ASMAK HAOUZ MARRAKECH,"N° 781, LOTISSEMENT AL MASSAR ROUTE DE SAFI, MARRAKECH",MARRAKECH,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4082,ASMAK MORSAD,ASMAK MORSAD,BP 8002 CITE DAKHLA AGADIR,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PEF.19.0083.16,ASMAK TAHIRI,ASMAK TAHIRI,N° 136 HAY TARGA SIDI MBAREK MARAKECH,MARRAKECH,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PP.71.0145.17,ASPAM,ASPAM,LOT A35 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.53.0135.17,ASSALAMA FRIGOS 1,ASSALAMA FRIGOS 1,ZONE INDUSTRIELLE LOT 151 EL JADIDA,EL JADIDA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PP.53.0136.17,ASSALAMA FRIGOS 2,ASSALAMA FRIGOS 2,"ZONE INDUSTRIELLE LOT 151, EL JADIDA",EL JADIDA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.5.0213.19,ASSIETTE NORDIQUE,ASSIETTE NORDIQUE,"Lotissement Saadi, Lot n°6, Quartier Industriel Sidi Bernoussi-Casablanca",CASABLANCA,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE, DES PRODUITS DE L'AQUACULTURE A L'ÉTÉ FRAIS ET CONGELATION, FILETAGE,FUMAGE, DECORTICAGE DES CREVETTES ET CUISSON DES CRUSTACES ET STOCKAGE DES PRODUITS CONGELES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.5.0215.19,ASSIETTE NORDIQUE ENTREPOSAGE,ASSIETTE NORDIQUE ENTREPOSAGE,"Lotissement Saadi, Lot n° 16, Quartier Industriel Sidi Bernoussi-Casablanca",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PEF.5.0262.20,ASSIETTE OCEANE,ASSIETTE OCEANE,"1, Allée de Mandariniers, Bd Chefchaouni, Ain Sbaa -Casablanca",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PP.1.0087.16,FATIFISH FOOD,FATIFISH FOOD,ZONE INDUSTRIELLE BOUREGRAG,RABAT,Morocco,"CONGELATION DES PRODUITS DE LA PECHE ET DES COQUILLAGES, Conditionnement des produits de la peche a l'etat frais, FILETAGE ET DECORTICAGE DES CREVETTES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.68.3592.21,ATLANTIC BLEUE FIN,ATLANTIC BLEUE FIN,PORT DE PECHE DE TAN TAN,TAN TAN,Morocco,CONGELATION DES CEPHALOPODES ET POISSONS BLANCS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3030,ATLANTIC CONSERVES,ATLANTIC CONSERVES,ZI AIT MELLOUL .BP 582 AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.26.0162.18,ATLANTIC HOME SARDINES,ATLANTIC HOME SARDINES,ZONE INDUSTRIELLE LOT 676 AIT MELLOUL AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3507,ATLANTIC SARDINE ANCHOVIES TAN TAN,ATLANTIC SARDINE ANCHOVIES TAN TAN,QUARTIER INDUSTRIEL ROUTE PRINCIPAL TAN TAN,TAN TAN,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2933,ATLANTIC SEA PRODUCTS,ATLANTIC SEA PRODUCTS,"N° 31, NOUVEAU PORT D’AGADIR",AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3874,ATLAS SEAFOOD,ATLAS SEAFOOD,40 ANGLE AVENUE ABOUBAKER EL OUAHRANI ET RUE AVIATEUR VITALIS HAY HAY MOHAMMADI CASABLANCA,CASABLANCA,Morocco,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAS ET CONDITIONNEMENT DES PIEDS DE BICHE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1155,ATUNEROS DEL NORTE,ATUNEROS DEL NORTE,PORT M DIQ- M DIQ TETOUAN 3 RUE ELRRAOUI APPT 26 1ER ETAGE TANGER TETOUAN,M'DIQ,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.0041.15,ATUNEROS DEL SUR,ATUNEROS DEL SUR,"N° 1,2 ZONE INDUSTRIELLE ESSALAM DAKHLA",DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1653,AVEIRO MAROC,AVEIRO MAROC,ZONE INDUSTRIELLE 80152 AIT MELLOUL,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.40.0237.19,AYOUB DES POISSONS,AYOUB DES POISSONS,N° 138 ZONE INDUSTRIELLE -TETOUAN,TETOUAN,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PEF.19.0094.16,AZUL FISH,AZUL FISH,LOT N° 756 LOTISSEMENT AL MASSAR ROUTE DE SAFI MARRAKECH,MARRAKECH,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PP.19.0146.17,AZUL FISH 2,AZUL FISH 2,"N° 756,LOTISSEMENT AL MASSAR, ROUTE DE SAFI, 40000,MARRAKECH",MARRAKECH,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.5.0175.18,AZUL FISH 3,AZUL FISH 3,"N° 310 LOTISSEMENT LINA ,ZI SIDI MAAROUF-CASABLANCA",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PP.63.0155.18,BAHRI FISH,BAHRI FISH,LOT N° 62 ZONE INDUSTRIELLE DE BENI MELLAL,BENI MELLAL,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3196,BAZEN,BAZEN,"167, BD DE BOURGOGNE CASABLANCA",MOHAMMADIA,Morocco,SECHAGE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2817,BEAUX FRIGOS,BEAUX FRIGOS,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.25.3313.20,NATURA POISSONS,NATURA POISSONS,PARCELLE 64 NOUVEAU PORT ANZA AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1709,BELMA,BELMA,"ZONE INDUSTRIELLE D'AIT MELLOUL, LOT N° 862",AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3222,BENSSI FRIGO,BENSSI FRIGO,ZONE INDUSTRIELE HAY ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.47.0278.21,BEST CONSERVES,BEST CONSERVES,"19 ROUTE NATIONAL RELIANT TAOURIRT ET DEBDOU, COMMUNE AHL OUES ZA, Province TAOURIRT",TAOURIRT,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
5157,BIO FISH,BIO FISH,"N° 92 ZONE 1 PARC INDUSTRIEL DE BOUSKOURA, PROVINCE DE NOUACEUR CASABLANCA",CASABLANCA,Morocco,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES"
2975,BLANCAMAR,BLANCAMAR,"LOTS 15 ET16, Z.I SAPINO PROVINCE DE NOUACEUR CASABLANCA",CASABLANCA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2915,BLANMAR,BLANMAR,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.1.0087.16,FATIFISH FOOD,FATIFISH FOOD,"8,9,10 ZONE INDUSTRIELLE ABI REGRAG,RABAT",RABAT,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, FILETAGE, DECORTICAGE DES CREVETTES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.1.0063.15,HANDELMA,HANDELMA,"N°1,ZONE INDUSTRIELLE ABI REGREG,TAKADOUM RABAT",RABAT,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
3087,BOUZERGTOUN SEAFOOD,BOUZERGTOUN SEAFOOD,STALLE N° 11 PORT DE PECHE S CASABLANCA,CASABLANCA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1963,C.C.I.D,C.C.I.D,BP 111 ZONE INDJUSTRIELLE DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2761,CANPECHES,CANPECHES,LOT N° 10 ZONE INDUSTRIELLE BOUJDOUR,BOUJDOUR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3266,CENPESUD,CENPESUD,ZONE INDUSTRIELLE ESSALAML DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.2512.18,CEPHALOPODES RIO DE ORO,CEPHALOPODES RIO DE ORO,nan,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.68.0014.14,CIBEL,CIBEL,ZONE EXTRAPORTUAIRE BP 38 PORT DE TAN TAN,TAN TAN,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
9421,CIBEL IV,CIBEL IV,QI ANZA BP.135-AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.25.0044.15,CISNEROS SEA FOOD,CISNEROS SEA FOOD,"ZONE PORTUAIRE, ANCIEN PORT,AGADIR",AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
3065,CODAKPO,CODAKPO,ZONE INDUSTRIELLE Hay Salam DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
5427,COFEPROMER,COFEPROMER,PROVINCE DE CHTOUKA AIT BAHA AGADIR,AGADIR,Morocco,SECHAGE DES MOULES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.3335.18,COFRIGOB,COFRIGOB,LOT 53 ZONE INDUSTRIELLE EL MARSSA LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.71.0274.21,COFRIGOB ENTREPOSAGE,COFRIGOB ENTREPOSAGE,LOT 81 ZONE INDUSTRIELLE EL MARSSA LAAYOUNE,LAAYOUNE,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
1720,COLOCONSA,COLOCONSA,PRINCE MOULAY HASSAN BEN MEHDI- ASILAH,ASILAH,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.52.4326.19,COMEA,COMEA,ZONE INDUSTRIELLE ZONE BASSE ROUTE DE JORF LIHOUDI SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
