approval_no,plant_name,company,address,town_region,country,activity,activity_type
PEF.7.0230.19,SIMACOM,SIMACOM,"LOT 85 SECTEUR 13S, ZI OUELED SALEH, NOUACEUR-CASABLANCA",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
3711,SIMPA,SIMPA,"16 RUE DE TINGHIRT, ROCHE NOIRE, AÏN SEBAA, CASABLANCA ZONE INDUSTRIELLE",CASABLANCA,Morocco,CONSERVE DE POISSON ET SEMI CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3458,SINGLE FISHERIE EL KHALIFA,SINGLE FISHERIE EL KHALIFA,ZI LOTS 207 ET 208 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3120,SJOVIK MOROCCO S.A,SJOVIK MOROCCO S.A,ZONE INDUSTRIELLE ESALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3110,SMOCO,SMOCO,Z.I HAY ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.0187.18,SOBIFISH,SOBIFISH,Z.I HAY ESSALAM DAKHLA,DAKHLA,Morocco,EVISCERATION ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2908,SOCCOPO,SOCCOPO,"LOT N° 80 ZONE INDUSTRIELLE,PORT DE LAAYOUNE BP 52",LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.3335.18,SOCIETE DE CONGELATION EL MOSTAKIM,SOCIETE DE CONGELATION EL MOSTAKIM,LOT 110 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2330,SOCOPTER,SOCOPTER,PARCELLE 81 NOUVEAU PORT BP 1798 AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.0161.18,SOGSACO,SOGSACO,"ZONE INDUSTRIEL,PORT DE LAAYOUNE",LAAYOUNE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1905,SOGENCO I,SOGENCO I,ROUTE DU JORF EL YOUDI BP 56 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1638,SOGENCO II,SOGENCO II,ROUTE DU JORF EL YOUDI BP 56 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
6225,SOGLAMA,SOGLAMA,PARCELLE N° 2 NOUVEAU PORT D'AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3210,SOLACOP,SOLACOP,NOUVELLE ZI LOT N 87 DAKHLA,DAKHLA,Morocco,CONGELATION DES PRODUITS DE LA PECHE ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4696,SOLICOMA,SOLICOMA,RUE DE L'OCEAN QUARTIER INDUSTRIEL ANZA AGADIR 80090 AGADIR,AGADIR,Morocco,"CONGELATION, ETEVISCERATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.25.0177.18,SOLICOMA III,SOLICOMA III,QUARTIER INDUSTRIEL ANZA AGADIR,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
1518,SOMAFACO,SOMAFACO,"KM 10.500 ROUTE D'ELJADIDA, LISSASFA 20230 CASABLANCA",CASABLANCA,Morocco,CHARCUTERIE A BASE DE SURIMI DE POISSON CONGELE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3665,SOMAFISH,SOMAFISH,"NOT 44 – 46, NOUVEAU PORT D'AGADIR",AGADIR,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, FILETAGE, FUMAGE DU POISSON ISSU DE LA PECHE ET DE L'AQUACULTURE, ENTREPOSAGE ET PREPARARTION DE BURGERS DE POISSONS CONGELES, DE BOULETTES DE POISSON CONGELES ET DU MERGUEZ","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES"
1795,SOMECOP,SOMECOP,ZONE INDUSTRIELLE LOTISSEMENT 38 ROUTE DE MARTIL TETOUAN,M'DIQ,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, FILETAGE, SEMI- CONSERVE, CUISSON DE POISSON, DECORTICAGE ET CONGELATION DES OURSINS DE MER, DECORTICAGE DE L'ENGOUSTINE CONGELEE ET PRE-CUISSON ET CONGELATION DES ANEMONES DE MER","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.34.0197.19,SOMECOP 2,SOMECOP 2,NOUVEAU PORT DE TANGER,TANGER,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4645,SOMERPIP II,SOMERPIP II,ZONE INDUSTRIELLE D'EL JADIDA LOT 266,EL JADIDA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3748,SOPCODA,SOPCODA,"Z.I. EXTRA PORTUAIRE BP 217, EL OUATIA, TANTAN PLAGE",TAN TAN,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.3702.19,SOPIMAS,SOPIMAS,LOT B 37 Z I PORT DE LAAYOUNE,LAAYOUNE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHA A L'ETAT FRAIS ETCONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3282,SOSAFRED,SOSAFRED,ZI ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3363,SOTRA PECHE,SOTRA PECHE,NOUVELLE ZI LOT 69 ET 71 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.0126.17,SOTRAGEL CONGELATION,SOTRAGEL CONGELATION,BP N° 62 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,Morocco,"CONDITIONNEMENT POISSON FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.59.6092.20,FRESH CORP MOROCCO (SOTRET),FRESH CORP MOROCCO (SOTRET),"COMMUNE OUELD SEBBAH, HANGAR N°3 EL GARA BERCHID",BERRECHID,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, ENTREPOSAGE ET PLATS CUISINES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.50.0196.18,SOUFISH,SOUFISH,PORT DE PECHE SE BENI ENSAR NADOR,NADOR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.26.0201.19,SOUSS POISSONS,SOUSS POISSONS,"Avenue Alfarabi, lot D4 ZI Tassila Dceira- Inzegane AIT Melloul",AGADIR,Morocco,CONGELATION ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4971,SOVAPEC,SOVAPEC,PORT DE PECHE DE TAN TAN,TAN TAN,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2939,SOZACOP,SOZACOP,QI HAY ES SALAM DAKHLA OU NOUVELLE ZI DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.52.0107.16,SP.MAR,SP.MAR,"Z.I ROUTE DE DJORF EL YOUDI,SAFI",SAFI,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2921,SUPER CONGEL,SUPER CONGEL,QI HAY ES SALAM DAKHLA NOUVELLE ZI,DAKHLA,Morocco,"ETETAGE, EVISCERATION, CONGELATION DES PETITS PELAGIQUES ET CONDITIONNEMENT DES PRODUITS DE L'AQUACULTURE FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.2599.18,SYNEDAKH,SYNEDAKH,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
