NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
DAMSA ENTREPOSAGE,LOT 21 ET 22 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,PEF.71.0102.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
DAR RAHA CONSTRUCTION,"LOTISSEMENT AL HOUDA, LOT N° 467E,Q.I DE TASSILA AGADIR",AGADIR,PEF.25.0036.14,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
DAUPHIN PECHE,PARCELLE N 48 NOUVEAU PORT AGADIR,AGADIR,PP.25.5112.18,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DELIMAR,ROUTE DE L OCEAN QI ANZA AGADIR BP 6145-CP 70014 AGADIR,AGADIR,1498,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DELIMAR II,LOT B 606 ZONE INDUSTRIELLE AIT MELLOUL AGADIR,AGADIR,6044,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
DELIMAR III,LOT B 610 ZONE INDUSTRIELLE AIT MELLOUL AGADIR,AGADIR,6340,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DELTA FISH,45-47 IMM N° 64 AVENUE DAKHLA HAY EL INARA Z I.CASA,CASABLANCA,1354,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CRUSTACES VIVANTS, DECORTICAGEDES CEREVETTES ET CONGELATION ET STOKAGE DES PRODUITS CONGELES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DELTA OCEAN 2,"ZONE INDUSTRIELLE EL MARSA, B.P,41,LAAYOUNE",LAAYOUNE,PP.71.0168.18,HUILE DE POISSON A CONSOMMATION HUMAINE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
DERAL,ZONE INDUSTRIELLE DE LA VILLE D'EL MARSSA PORT DE LAAYOUNE,LAAYOUNE,4740,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DERHEM SEA FOOD,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3010,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, EVISCERATION ET ETETAGE ET FILETAGE DES PETITS PELAGIQUES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DERHEM SEA FOOD,ZI TASSILA III AIT MELLOUL TIQIOUINE,AGADIR,3931,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
DERHEM SEA FOOD II,ZI TASSILA III AIT MELLOUL TIQIOUINE,AGADIR,3107,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DESHAYSES THERRY,QUARTIER INDUSTRIEL ESSAOUIRA,ESSAOUIRA,3073,FUMAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DIPROMER I,ZONE INDUSTRIELLE PORT DE LAAYOUNE,LAAYOUNE,PP.71.2199.18,CONGELATION ET MARINADE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DIPROMER II,BP 322 ZI VILLE DE QUARTIER EL MASSIRA ZI BP 327 DAKHLA,DAKHLA,2265,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DIPROMER III,ENCEINTE NOUVEAU PORT N° 6264 DAKHLA,DAKHLA,3360,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DISTRIBUTION LEGHLAM,"N° 02 ROUTE 107, SIDI MOUMEN, CASABLANCA",CASABLANCA,PEF.5.0066.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
DOHA,ZI AIT MELLOUL BIOUGRA BP 417 AGAIR,AGADIR,1727,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DOMAINE D’AIN AGHBAL,BP 54- 53100 AZROU,AZROU,PA.15.1.21,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
E.D.M FISH TRADING,"LOT C55 ZI TASSILA, DCHEIRA ELJIHADIA-INZEGANE AIT MELLOUL",AGADIR,PP.26.0263.20,EVICETATION ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
EL LEON DEL DESIERTO II,"11 RUE FILAA HAY MY RACHID, , 71000BOUJDOUR",BOUJDOUR,3026,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,
EL LEON DEL DESIERTO III,CITE DITE M'HMED AUTOROUTE TEMARA,TEMARA,3438,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,CONGELATION, FILETAGE ET ENTREPOSAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ENTREPOT FRIGORIFIQUE PATY'S,LOT 169 à 180 ZONE INDUSTRIELLE SUD OUEST DE MOHAMMEDIA,MOHAMMEDIA,PEF.6.0156.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ENTREPOT FRIGORIFIQUE SAY FISHERIES,"PARCELLE N° 261, ZONE DE PECHE HAUTURIERE, PORT DE PECHE AGADIR",AGADIR,PEF.25.0216.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ENTREPOT VILLAMAR,ZONE INDUSTRIELLE HAY SALAM - DAKHLA,DAKHLA,PEF.74.0234.20,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ERG CONSERVE,234 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,6091,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ERG DELICE,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,6370,PLATS CUISINES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ESTRELLA DE MAR,PORT DE PECHE BENI-ENSAR NADOR,NADOR,PP.50.0176.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ETABLISSEMENT AL HARDOUFI,"PARCELLES N° 73 , 74 ET 75 ZONE INDUSTRIELLE I NOUVEAU PORT D’AGADIR",AGADIR,3517,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ETABLISSEMENT EL HARDOUFI 2,PARCELLE 73-74 et 75 NOUVEAU PORT D' AGADIR,AGADIR,PEF.25.0150.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ETABLISSEMENT SOUIRAH,"73 Bd MOULAY HICHAM, ZONE INDUSTRIELLE",ESSAOUIRA,PP.24.0248.20,CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
EVER FREESE,ESSAOUIRA,AGADIR,1005,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
EXPRESS FISH,ROUTE DE JORF EL YOUDI LOT CONTRAS,CASABLANCA,2457,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, ETETAGE ET EVISCERATION ET FILETAGE DU POISSON","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
EXPRESS MAREE,"LOT N°33-34 ZONE INDUSTRIELLE TASSILA JIHADIA,DCHEIRA INZEGANE AIT MELLOUL AGADIR",AGADIR,PP.26.0010.14,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
F.M.C.A,ROUTE DE L OCEAN QI ANZA AGADIR BP 6145-CP 70014 AGADIR,AGADIR,1884,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FADILI FRIGO,ZONE INDUSTRIELLE .HAY ESSALAM DAKHLA,DAKHLA,2647,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FATINA FOOD BUSINESS,"LOT 184, Q.I SIDI GHANEM, ROUTE DE SAFI MARRAKECH",MARRAKECH,PP.19.0005.14,SEMI-CONSERVE ET CONSERVES DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
EL HANDAOUI,PORT DE PECHE TANGER,TANGER,PP.34.3846.19,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FINNAOUI PESCA ALGARVE,QUARTIER INDUSTRIEL PORT DE LAAYOUNE,LAAYOUNE,2329,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FISH AND COMPANY T.F.Z,LOT N° 17 ZONE FRANCHE D'EXPORTATION GZENAYA TANGER,TANGER,PP.34.0033.14,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FISHLAY,N° 209 210 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3217,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FISH MER,"Route El Gara, km 6,8 Sidi hajjaj Tit Mellil",MEDIOUNA/NOUACEUR,PEF.8.0200.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
FISH MER 1,"Route El Gara, km 6,8 Sidi hajjaj Tit Mellil",MEDIOUNA/NOUACEUR,PP.8.0267.20,"CONGELATION DES PRODUITS DE LA PECHE, FILETAGE ET CUISSON","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FLUCA PESCA,Lot N° 96 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,PP.71.0191.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FOR FISH,102 RUE BOUMAZEL QUARTIER INDUSTRIELSAFI,SAFI,PP.52.3128.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRAIMER,"LOT EL MASSAR, N 728 QUARTIER INDUSTRIELLE SIDI GHANEM MARRAKECH",MARRAKECH,4081,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRATERE - B –PESCA,LOT N° 8 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3283,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRE SOUSS(STE),"67, BOULVARD AHMED MANSOUR EDDAHBI QUARTIER INDUSTRIELLE AGADIR",AGADIR,1571,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRICTAS,"N° 516 LOTISSEMENT AL MASSAR, EXTENSION ATELIER I QUARTIER INDUSTRIEL 40000 MARRAKECH",MARRAKECH,PEF.19.0170.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
FRIGEMA,N° 10 RUE 2 MARS QUARTIER INDUSTRIELLE BP 232 AGADIR,AGADIR,2008,"CONGELATION, FILETAGE ET ENTREPOSAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIGO ADNANE,ZONE.NDUSTRIELLE I HAY ESSALAM DAKHLA,DAKHLA,PP.74.3395.18,"CONGELATION, ETETAGE ET EVISCERATION DES PETITS PELAGIQUES ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIGO AMRAD,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,3088,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIGO BOUCHTA,ZONE INDUSTRIELLE EXTRAPORTUAIRE BP 115 EL OUATIA TAN TAN PLAGE,TAN TAN,PP.68.4021.18,"CONGELATION, FILETAGE, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, MARINADE ET SALAGE DE POISSON","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIGO CHORFA,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3218,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIGO DIDA MAR,HAY MOULAY RACHID VILLE DE DAKHLA,DAKHLA,2247,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIGO MASSIRA,LOT N° 97 ZONE INDUSTRIELLE DAKHLA,DAKHLA,3029,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIGO ONP,COMPLEXE FRIGORIFIQUE DE L ONP BP 42 ANCIEN PORT AGADIR,AGADIR,1621,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
FRIGO OULED ZIANE,"Tribu Ouled Ziane Douar Lagrarsa Commune rurale Deroua, Berrechid",BERRECHID,PEF.59.0206.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
FRIGO TASSILA,"LOT 61, QUARTIER INDUSTRIELLE TASSILA III TIKIOUINE AGADIR",AGADIR,3476,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIOCONDAL,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,2916,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRIOPUERTO TANGER,"ZONE FRANCHE LOGISTIQUE TANGER MED LOT 81, OUED R'MEL COMMUNE KSAR AL MAJAZ PROVINCE ANJRA TANGER",FAHS ANJRA,PEF.35.0133.17,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
FRIPECHE,"Lot n°H Zone Industrielle Hay Essalam, Dakhla",DAKHLA,PP.74.0252.20,"MARINADE ET FUMAGE DES PETITS PELAGIQUES, FILETAGE ET DECOUPAGE EN RONDELLES DES PETITS PELAGIQUES ET POISSON BLANC, SAUMURAGE DES PETITS PELAGIQUES ET POISSON BLANC, ETETAGE EVISCERATION ET EQUETAGE ET SURGELATION EN IQF DES PETITS PELAGIQUES ET DU POISSON BLANC","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
,KM 11 ROUTE PRINCIPALE D'EL JADIDA N° 8 LISSASFA CASABLANCA,CASABLANCA,PEF.5.0110.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
GASTRONOMIA NAPOLITANA,PORT CREVETTIER DE MEHDIA,KENITRA,3806,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, SALAISON, MARINADE ET CUISSON","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GEL FISH,BP 52 ZONE INDUSTRIELLE PORT DE PECHE LAAYOUNE RC 1335 LAAYOUNE.,LAAYOUNE,2604,"CONGELATION DES PETITS PELAGIQUES, FILETAGE DU POISSON, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, ENTREPOSAGE DE VOS PROPRES PRODUITS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GIL COMES I,NOUVEAU PORT DE LARACHE,LARACHE,3508,SEMI-CONSERVE ET FUMAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GIL COMES II,NOUVEAU PORT DE LARACHE,LARACHE,4389,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GIL COMES M'LALAH,NOUVEAU PORT DE LARACHE,LARACHE,6153,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GLACIAIRE DE SIDI IFNI,"PARCELLE N° 91, Q.I, PORT DE SIDI IFNI",SIDI IFNI,PP.33.0060.15,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GOLD SEA FISH II,LOT 234 ET 235 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3396,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GOLDEN GOLF,LOT 234 ET 235 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3284,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GOURTI POULMAR,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,2919,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GREEN STEP,SAF LHMAMCOMMUNE SEBT ZINAT- TANGER,TANGER,PP.34.0236.19,SECHAGE DES CARAPACES DE CREVETTES DESTINEES A LA CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GROUPEMENT ALIMENTAIRE REUNI,"KM 33, N° 1 COMMUNE MANSOURIA, BP 72 MOHAMMEDIA",MOHAMMADIA,2862,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
GRUPECHE,N° 6 NOUVEAU PORT D' AGADIR,AGADIR,2395,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
HACHIMAR,N°102 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,PP.71.0068.15,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
