approval_no,plant_name,company,address,town_region,country,activity,activity_type,latitude,longitude,geocode_confidence,geocode_formatted
4012,LAAYOUNE CONSERVE NAGJIR,LAAYOUNE CONSERVE NAGJIR,LOT 38 Z I VILLE EL MARSA LAAYOUNE PORT,LAAYOUNE,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.83333,-12.33333,9,"Laayoune, Morocco"
PP.71.0061.15,LAAYOUNE PROTEINE,LAAYOUNE PROTEINE,"ZONE INDUSTRIELLE EL MARSA, B.P,41,LAAYOUNE",LAAYOUNE,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.18064,-13.06349,9,"Laayoune, Morocco"
PP.25.0002.14,LADRARMAR,LADRARMAR,"N° 87, ZONE INDUSTRIELLE TASSILA III TIKIOUINE,AGADIR",AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PEF.25.0100.16,LADRARMAR 2,LADRARMAR 2,Z.I Tassila3 N° 87 Tikouine Agadir,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.7.0050.15,LAURA FISH,LAURA FISH,LOT N° 709 PARC INDUSTRIEL SAPINO NOUACEUR CASABLANCA,CASABLANCA,Morocco,"CONDITIONNEMENT DES PP A L'ETAT FRAIS, CONGELATION, CUISSON, FILETAGE, DECORTIVAGE DES CREVETTES ET PREPARATION DES PRODUITS DE LA PECHE MARINES A L'ETAT FRAIS ET CONGELE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.3852,-7.57927,9,"Nouaceur, Morocco"
PEF.7.0052.15,LAURA FISH,LAURA FISH,LOT N° 709 PAC INDUSTRIEL SAPINO NOUACER CASABLANCA,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,33.58831,-7.61138,6,"Casablanca, Morocco"
PP.7.0037.14,LE FUMET DE L'ATLAS,LE FUMET DE L'ATLAS,9-10 Z.I DAR BOUAZZA PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,FILETAGE ET FUMAGE DU POISSON ET DES PRODUITS D'AQUACULTURE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.58831,-7.61138,6,"Casablanca, Morocco"
1312,LES FRIGORIFIQUES BOUZERGHTOUN,LES FRIGORIFIQUES BOUZERGHTOUN,DOUAR LAGOUASSEM BOUSKOURA PAR SIDI MAAROUF ZONE RURALE CASABLANCA,CASABLANCA,Morocco,"CONGELATION, FILETAGE, DECORTICAGE DES CREVETTES, EXTRACTION ET CONGELATION DE LA VESSIE NATATOIRE DE LA COURBINE ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.58831,-7.61138,6,"Casablanca, Morocco"
1885,LGMC /CHERIFIENNE,LGMC /CHERIFIENNE,ROUTE ELL YOUDI BP 96 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.29939,-9.23718,7,"Safi, Morocco"
2469,LGMC /COMOSA,LGMC /COMOSA,ROUTE EL YOUDI BP 96 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.29939,-9.23718,7,"Safi, Morocco"
2715,LGMC /MARIANA,LGMC /MARIANA,ROUTE DU JORF EL YOUDI BP 96 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.29939,-9.23718,7,"Safi, Morocco"
1418,LGMC/ AMIAROC,LGMC/ AMIAROC,Q I AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41068,-9.5613183,8,"Boulevard Hassan I, 80006 Agadir, Morocco"
PP.7.0117.16,LIVING FISH 1,LIVING FISH 1,LOT N° 1102 ZONE INDUSTRIELLE SAPINO PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.58831,-7.61138,6,"Casablanca, Morocco"
PEF.7.0118.16,LIVING FISH 2,LIVING FISH 2,LOT N° 1102 ZONE INDUSTRIELLE SAPINO PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,33.58831,-7.61138,6,"Casablanca, Morocco"
PEF.7.0062.15,LOGICOLD,LOGICOLD,POLE INDUSTRIEL ONDA NOUACEUR CASABLANCA,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,33.3852,-7.57927,9,"Nouaceur, Morocco"
6359,LOGIFOOD,LOGIFOOD,LOT 115 PARC INDUSTRIEL OULED SALEH PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.58831,-7.61138,6,"Casablanca, Morocco"
3123,LOMEN FRIGO,LOMEN FRIGO,Z.I HAY ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
PEF.6.0261.20,LOTRAF,LOTRAF,"Zone logistique SNTL, entrepôt D5. Zi MOHAMMEDIA",MOHAMMEDIA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,33.68607,-7.38298,7,"Mohammedia, Morocco"
