approval_no,plant_name,company,address,town_region,country,scope,expiry_date
1198,"QUALITY EXPORTS, UNIT-II","QUALITY EXPORTS, UNIT-II","Plot No. SB 64, 65, 66 & 67, Cuncolim Industrial Estate, Cuncolim, Goa -403703, India",Goa -403703,India,"Freezing of Raw Fish & Fishery Products(IF-Blast)- Fishes(Histamine & Non-Histamine forming), Crustaceans -Shrimps, Lobsters, Crabs (Sea caught) & Cephalapods",16/08/2027
1199,AMAR STERILISED FISH MEAL,AMAR STERILISED FISH MEAL,"Jawar Naka, Porbandar-360579, Gujarat, India",Gujarat,India,Processing and Packing of Steam Sterilized Dried Fish Meal Powder and fish oil (Unfit for Human Consumption),19/08/2027
1201,Keval Exports,Keval Exports,"GMB Plot No. 24/26, In B Port Area, Veraval â?? 362267, Gujarat, India",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLAST-IF) (EXCLUDING AQUACULTURE),15/09/2027
1202,"Forstar Frozen Foods Pvt. Ltd. Unit-2,","Forstar Frozen Foods Pvt. Ltd. Unit-2,","Plot No.M-53 / 1, MIDC, INDUSTRIAL AREA, TALOJA,   DIST - RAIGAD -   410 208, MAHARASHTRA, INDIA",MAHARASHTRA,India,"PACKING OF FRESH / CHILLED FISH & FISHERY PRODUCTS, FREEZING OF RAW / BLANCHED / COOKED FISH & FISHERY PRODUCTS ( BLOCK/IF/IQF) ( INCLUDING AQUACULTURE ) PROCESSING AND PACKING OF VALUE ADDED FISH & FISHERY PRODUCTS IN READY TO EAT IN RETORT POUCHES, FROZEN COOKED MEALS, FROZEN RAW MARINATED, FROZEN RAW/FLASH FRIED/FRIED, BATTERED AND BREADED AND BREADED PRODUCTS AND SEA FOOD PICKLES",06/10/2027
1205,Nanak Nutritions Food (Taloja) Pvt. Ltd.,Nanak Nutritions Food (Taloja) Pvt. Ltd.,"Plot No. M-57,MIDC,Taloja,Dist.- Raigad,Maharashtra-410208,India",Maharashtra-410208,India,"Packing of Fresh /Chilled Fish & Fishery Products,Freezing of Raw Fish & Fishery Products (Block/Blast-IF/IQF)",21/10/2027
1206,Rich Marine Export,Rich Marine Export,"Plot No. 904, G.I.D.C. Estate, Veraval-362269, Gujarat, India",Gujarat,India,Freezing of Blanched/Raw Fish & Fishery Products (Block/Blast-IF/IQF)  ( Excluding Aquaculture.,19/10/2027
1207,AKSHA FISH MEAL & OIL,AKSHA FISH MEAL & OIL,"Survey No- 63, N.H 8E, Village- Gosa, Porbandar, Gujarart,India",Gujarart,India,Processing and Packing Of Steam Dried Fish Meal (Unfit For Human Consumption),05/11/2027
1208,Kalpana Impex.,Kalpana Impex.,"Plot No 403, G I D C Estate, Veraval",G I D C Estate,India,"PACKING OF FRESH/ CHILLED FISH & FISHERY PRODUCTS, FREEZING OF RAW FISH & FISHERY PRODUCTS(BLAST-IF) (EXCLUDING AQUACULTURE)",21/12/2027
1209,"Winsor World Export .,","Winsor World Export .,","Plot No. 801, 802/1/2, GIDC Estate, Veraval-362269, Gujarat, India",Gujarat,India,"PROCESSING AND PACKING OF FRESH/CHILLED FISH & FISHERY PRODUCTS, FROZEN (BLOCK/IF-BLAST/IQF) RAW/ BLANCHED FISH & FISHERY PRODUCTS (EXCLUDING AQUACULTURE)",19/01/2028
1211,Star Marine Products,Star Marine Products,"Plot No.803/1, G.I.D.C.,Estate, Veraval-362269, Gujarat, India,",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLAST-IF) (EXCLUDING AQUACULTURE),16/02/2028
1214,PREMIER MARINE PRODUCTS,PREMIER MARINE PRODUCTS,"PLOT NO. 1309, G.I.D.C., VERAVAL-362269, GUJARAT, INDIA",GUJARAT,India,"MANUFACTURING OF STERILIZED FISH MEAL POWDER, PROCESSING & PACKING OF STEAM DRIED SHRIMP MEAL (UNFIT FOR HUMAN CONSUMPTION)",07/05/2028
1223,M/S RAJAN SEA FOODS,M/S RAJAN SEA FOODS,"Plot No. 609,G.I.D.C, VERAVAL-362269",G.I.D.C,India,Frozen (IF-Blast) Fish and Fishery products (Excluding Aquaculture),12/03/2026
1225,Sagar Marine Impex,Sagar Marine Impex,"Behind Trivedi Weigh Bridge, Near Keval Export, Bhalka Patan Road, Veraval-362269, Gujarat, India,",Gujarat,India,FROZEN (BLOCK/IF-BLAST/IQF) RAW/BLANCHED FISH AND FISHERY PRODUCTS (INCLUDING AQUACULTURE),24/03/2026
1227,Lalchand Enterprises,Lalchand Enterprises,"SHREE DATTA NIWAS H.NO. 506,SHOP NO 1 , SECTOR- 31 NEAR DATTA MANDIR,VASHI VILLAGE, NAVI MUMBAI-400 703 MAHARASHTRA, INDIA",NAVI MUMBAI-400 703 MAHARASHTRA,India,FRESH/ CHILLED RAW FISH AND FISHERY PRODUCTS(EXCLUDING AQUCULTURE),15/05/2027
1228,Deepmala Fisheries,Deepmala Fisheries,"Plot No. 805, GIDC Estate, Veraval - 362269, Gujarat, India,",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IQF/IF-BLAST) (EXCLUDING AQUACULTURE),29/07/2027
1229,Ambar Exports,Ambar Exports,"Plot No. 610/2, G.I.D.C., Veraval - 362269, Gujarat, India,",Gujarat,India,FROZEN (BLOCK/IF-BLAST) RAW FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),19/03/2026
1232,Star Marine Products (Unit-II),Star Marine Products (Unit-II),"Plot No.613/2,G.I.D.C.
Estate,Veraval-362269, Gujarat, India",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLAST-IF) (EXCLUDING AQUACULTURE),31/05/2027
1234,Gausia Cold Storage Pvt. Ltd.,Gausia Cold Storage Pvt. Ltd.,"M-7, MIDC TALOJA, DIST. RAIGAD, MAHARASHTRA-410208, INDIA",MAHARASHTRA-410208,India,"Packing of Fresh/ Chilled Fish and Fishery Products, Freezing of Raw Fish & Fishery Products (Block / IF) Including Aquaculture",19/09/2027
1238,NAVRANG SEA FOOD,NAVRANG SEA FOOD,"Plot No.206-207,Vanana G.I.D.C,Tal-Ranavav, Porbandar-360575, Gujarat,India",Gujarat,India,Freezing Of Raw Fish & Fishery Products (Block/IF/IQF),01/11/2027
1239,S.C.S. IMPEX INTERNATIONAL,S.C.S. IMPEX INTERNATIONAL,"PLOT NO. 200, 201/1, 201/2 & 212 G.I.D.C. ESTATE, VANANA, TA- RANAVAV, DIST: PORBANDAR â?? 360 575, GUJARAT, INDIA",GUJARAT,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF) (EXCLUDING AQUACULTURE),26/11/2027
